"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
13,1981,6.5,FALSE,FALSE,NA,NA,NA
13,1982,58.5,TRUE,TRUE,8.15245001606262,5.24983663408049,11.8103121950082
14,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
14,1982,58.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
16,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
16,1982,58.5,TRUE,TRUE,7.34408628911612,5.22083671248746,9.78199116375642
18,1981,6.5,TRUE,TRUE,8.20225378275027,7.22686551320593,9.31050545815794
18,1982,58.5,TRUE,TRUE,7.17933762536951,6.20886979623248,8.1206885139901
19,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
19,1982,58.5,TRUE,TRUE,6.9531997846032,4.58543337710707,9.31497338551175
20,1981,6.5,TRUE,TRUE,9.3763283409846,7.95007446607038,10.6752309782442
20,1982,58.5,TRUE,TRUE,7.75901966348515,6.75902729678847,8.75901203018183
21,1981,6.5,TRUE,TRUE,8.14098044826912,7.14098814334813,9.14097275319012
21,1982,58.5,FALSE,FALSE,NA,NA,NA
23,1981,6.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
23,1982,58.5,TRUE,TRUE,8.71315238684199,7.03263420764692,10.5123464752133
25,1981,6.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
25,1982,58.5,TRUE,TRUE,7.66742902605803,6.20724755462446,9.18808379759917
30,1981,6.5,TRUE,TRUE,8.71315238684199,7.03263420764692,10.5123464752133
30,1982,58.5,TRUE,TRUE,6.94786152302887,5.48769790624405,8.41747514583233
31,1981,6.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
31,1982,58.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
35,1981,6.5,TRUE,TRUE,8.9502406771008,8.38803822622873,9.51244811674741
35,1982,58.5,TRUE,TRUE,8.48445899135423,6.92465959732052,10.2605982731093
36,1981,6.5,FALSE,FALSE,NA,NA,NA
